証券コード,会社名,会計基準,決算期,年度,指標,値,この値の基準,出所書類,本体か訂正か
1301,株式会社極洋,Japan GAAP,03月期,2026,経常利益,10031000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2022,総資産,130460000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2023,総資産,146301000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2024,総資産,160720000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2025,総資産,182125000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2026,総資産,214128000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2022,自己資本比率,0.327,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2023,自己資本比率,0.325,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2024,自己資本比率,0.367,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2025,自己資本比率,0.365,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2026,自己資本比率,0.361,JGAAP,S100YE8K,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2021,EPS,-51.92,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2022,EPS,-25.70,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2023,EPS,6.01,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2024,EPS,-37.11,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2025,EPS,-65.62,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2023,ROE,0.021,JGAAP,S100XSIT,本体
